Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
30,26,44,28,45,56,39,44
30,26,44,28,45,56,39,44
30,25,44,28,45,56,39,44
30,25,44,28,45,57,39,44
30,26,44,28,46,57,39,44
30,26,44,28,45,59,39,47
30,26,44,28,45,59,38,47
30,26,45,28,45,58,38,47
30,26,45,28,45,58,38,47
30,26,44,28,45,58,39,47
30,26,44,28,45,58,38,47
30,25,45,28,45,58,38,47
30,25,44,28,45,58,38,47
30,25,44,28,45,58,38,47
30,26,44,28,45,58,39,47
30,26,42,27,49,55,37,54
30,27,42,27,53,56,37,54
30,27,42,27,55,56,37,54
30,27,42,27,55,56,37,54
30,27,43,27,55,56,37,54
29,27,43,27,55,56,37,54
29,27,42,27,55,57,37,54
29,27,42,27,55,57,37,54
29,27,42,27,55,56,37,54
29,27,42,27,54,56,37,54
30,27,42,27,54,54,37,51
30,27,42,27,54,54,37,51
30,27,42,27,54,54,37,51
30,27,42,27,53,54,37,51
30,27,42,27,53,55,37,51
30,27,43,27,54,55,37,51
30,27,43,27,54,55,37,51
30,27,43,27,54,55,37,51
30,27,43,27,54,55,37,52
30,27,42,27,54,54,37,52
30,27,44,27,50,57,39,45
30,27,44,27,46,56,39,45
30,27,44,27,44,56,39,45
30,27,44,27,44,56,39,45
30,27,44,27,44,56,39,45
30,27,44,27,44,56,39,45
30,27,44,27,44,56,39,45
30,27,44,27,44,56,39,45
30,27,44,27,43,56,39,45
30,27,45,27,43,56,39,45
31,27,44,27,44,56,39,45
30,27,45,27,44,56,39,45
30,26,45,27,44,56,39,45
30,26,45,27,44,56,39,45
31,26,45,27,44,56,39,45
31,25,44,27,44,56,39,45
31,25,45,27,44,56,39,45
31,25,45,27,44,56,39,45
31,25,45,27,44,56,39,44
31,24,45,27,43,55,39,44
30,24,45,27,44,55,39,44
30,24,45,27,44,55,39,44
30,23,45,27,43,55,39,44
30,23,45,27,44,55,39,44
30,23,45,27,43,55,39,44
31,22,45,27,43,55,39,44
31,22,45,27,43,54,39,44
30,22,45,27,44,54,39,44
30,22,45,27,44,54,39,44
30,22,45,27,44,54,39,44
30,22,45,27,44,55,39,44
30,22,45,27,44,55,39,44
