Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
31,25,46,28,45,55,40,45
31,25,46,28,45,56,40,45
31,25,46,28,46,56,40,45
31,25,46,28,47,56,40,45
31,25,46,28,46,56,40,45
31,25,46,28,46,55,40,45
31,25,46,28,47,55,40,45
30,25,46,28,47,56,40,45
31,25,46,28,47,56,40,45
30,25,47,28,47,57,40,45
30,24,47,28,47,57,40,45
30,24,47,28,48,57,40,45
30,24,47,28,48,57,40,45
30,24,46,28,48,56,40,45
30,24,46,28,48,56,40,45
30,24,46,28,48,57,40,45
30,25,46,28,48,57,40,45
30,25,46,28,49,57,40,45
30,25,46,28,49,57,40,45
30,26,46,28,49,57,40,45
30,26,46,28,49,57,40,45
30,25,46,28,48,56,40,45
30,25,46,28,48,56,40,45
30,25,46,28,48,56,40,45
30,25,46,28,48,56,40,45
30,26,46,28,48,57,40,45
30,26,46,28,48,57,40,45
31,25,46,28,48,57,40,45
31,25,46,28,48,57,40,45
31,25,45,28,47,57,40,45
31,25,45,28,47,57,40,45
31,25,45,28,47,56,40,45
31,25,45,28,47,57,40,45
31,25,45,28,47,57,39,45
31,24,45,28,47,57,39,45
31,24,45,28,47,57,39,45
31,24,45,28,47,56,39,46
31,24,45,28,47,56,39,46
31,23,45,28,46,56,39,46
31,23,45,28,47,56,39,46
31,23,45,28,46,56,40,46
31,23,45,28,46,56,40,45
31,23,45,28,46,56,39,45
31,23,45,28,46,57,39,45
31,23,45,28,47,57,39,45
31,23,46,28,47,57,39,45
31,23,46,28,46,56,39,45
31,23,46,28,46,56,39,45
31,22,46,28,46,56,39,45
31,23,46,28,46,56,39,45
31,23,46,28,46,56,40,45
31,24,46,28,47,57,40,45
31,24,46,28,47,56,40,45
31,24,46,28,46,56,40,45
31,24,46,28,46,57,40,45
31,24,46,28,46,57,40,45
31,24,46,28,46,57,40,45
31,24,46,28,46,57,40,45
31,24,46,28,46,57,40,45
31,25,46,28,45,57,40,45
31,25,46,28,45,57,40,45
31,25,46,28,46,58,40,45
31,25,46,28,46,58,40,45
31,24,46,28,46,57,40,45
31,25,46,28,45,58,40,45
30,25,46,28,45,58,40,45
30,25,46,28,45,58,40,45
30,25,46,28,46,58,40,45
30,26,45,28,45,58,40,45
30,26,46,28,45,58,40,45
30,25,46,28,45,58,40,45
30,25,46,28,44,58,40,45
30,26,46,28,45,58,40,45
30,26,46,28,45,59,40,45
30,26,46,28,46,59,40,45
30,26,47,28,46,59,40,45
30,26,47,28,46,58,40,45
30,26,47,28,46,58,40,45
30,26,46,28,46,58,40,45
30,26,46,28,46,58,39,45
30,26,47,28,46,58,39,45
30,26,47,28,46,58,39,45
30,26,47,28,47,58,40,45
30,27,47,28,46,59,40,45
30,27,47,28,46,58,40,45
30,27,47,28,46,59,40,45
30,27,47,28,46,59,40,45
30,26,47,28,47,59,40,45
30,26,47,28,47,59,40,44
30,26,47,28,47,59,40,45
30,26,47,28,47,59,40,45
30,26,47,28,47,59,40,44
30,27,47,28,47,59,40,45
30,27,47,28,47,59,41,45
31,27,47,28,46,60,41,45
31,27,46,28,46,60,40,45
31,27,46,28,45,60,41,45
31,27,47,28,45,60,41,45
31,27,47,28,46,60,41,45
31,27,46,28,45,60,40,45
31,27,46,28,45,60,41,45
31,27,46,28,46,60,40,45
31,27,46,28,45,59,40,45
31,27,46,28,46,59,40,45
31,27,46,28,46,59,40,45
31,27,46,28,45,59,40,45
31,27,45,28,44,59,40,45
31,28,45,28,44,59,40,45
31,28,45,28,44,59,40,46
31,28,45,28,44,59,40,45
31,28,44,28,44,59,40,45
31,27,44,28,44,59,40,46
31,27,44,28,44,59,40,45
31,27,44,28,45,59,40,46
31,27,44,28,45,59,40,46
31,27,44,28,45,59,40,46
31,27,44,28,45,59,40,45
31,27,44,28,45,59,40,46
31,26,44,28,45,59,40,46
31,26,44,28,45,59,40,45
31,26,44,28,45,59,40,46
31,26,44,28,45,59,40,46
31,27,44,28,45,59,39,46
31,27,44,28,44,59,39,46
31,27,44,28,45,59,39,45
31,27,44,28,46,59,39,45
31,27,44,28,45,59,39,45
31,26,45,28,45,59,39,45
31,27,45,28,46,59,40,45
31,26,45,28,46,59,40,45
31,26,45,28,46,58,39,46
31,26,45,28,47,58,39,46
31,26,45,28,47,57,40,46
31,26,45,28,46,57,40,45
31,26,45,28,46,57,40,45
31,27,45,28,46,57,40,45
31,27,45,28,47,57,40,46
31,27,44,28,47,57,40,46
31,27,44,28,47,57,40,46
31,27,45,28,47,57,40,46
31,27,45,28,47,57,40,45
31,27,45,28,47,56,40,45
31,27,45,28,47,56,40,46
30,27,44,28,47,56,40,45
30,26,44,28,47,55,40,45
30,26,45,28,46,55,40,45
30,26,45,28,47,54,40,46
30,27,44,28,46,54,40,45
30,27,44,28,46,54,40,46
30,27,44,28,46,54,40,45
31,27,44,28,46,54,40,45
31,27,44,28,45,54,40,45
31,27,44,28,45,54,40,45
31,26,45,28,45,54,40,45
31,26,45,28,45,54,40,45
31,26,45,28,45,54,40,45
31,26,45,28,46,54,40,45
31,26,45,28,46,54,40,45
31,25,45,28,46,53,40,45
31,25,45,28,45,54,39,45
31,26,44,28,45,54,40,45
31,25,44,28,46,54,40,46
31,25,45,28,46,55,40,45
31,25,45,28,46,55,40,45
31,25,45,28,46,56,40,46
31,25,45,28,46,56,40,46
31,25,45,28,46,56,40,45
31,25,45,28,46,56,40,45
31,24,45,28,47,56,40,45
31,25,45,28,47,56,40,45
31,25,45,28,47,56,39,45
31,25,45,28,47,56,39,45
31,25,45,28,47,56,40,45
31,25,45,28,47,56,40,45
31,25,45,28,46,56,40,45
31,26,45,28,46,56,40,45
31,26,45,28,45,56,40,45
31,26,45,28,45,56,40,45
31,27,45,28,46,56,40,45
30,27,45,28,46,55,39,44
30,28,45,28,46,55,39,44
30,28,45,28,47,55,39,44
30,29,44,28,47,55,40,44
30,29,44,28,48,55,40,44
30,30,44,28,47,55,40,44
30,30,44,28,47,55,40,44
30,30,44,28,47,55,40,44
30,30,44,28,48,56,40,45
30,30,44,28,48,55,40,45
30,30,44,28,48,55,40,45
30,30,44,28,48,55,40,45
30,30,44,28,48,56,40,45
30,30,44,28,48,55,40,45
30,30,44,28,48,56,40,45
30,30,44,28,48,56,40,45
30,29,44,28,48,56,40,45
30,29,44,28,48,56,40,45
30,28,44,28,49,57,40,45
30,28,44,28,49,57,40,45
30,28,45,28,49,57,40,46
30,27,45,28,49,57,40,46
30,26,45,28,49,57,40,46
30,26,45,28,49,57,40,46
30,26,45,28,48,57,39,46
30,26,46,28,49,57,39,46
30,26,45,28,49,57,39,46
31,25,45,28,48,57,39,46
31,25,45,28,48,57,39,46
31,25,45,28,48,57,39,46
31,25,46,28,48,57,39,46
31,25,46,28,48,58,39,46
31,25,45,28,47,58,39,46
31,25,46,28,48,58,39,45
31,25,45,28,48,58,39,46
31,26,46,28,47,58,39,45
31,26,46,28,48,58,39,46
31,25,45,28,47,58,39,46
31,25,45,28,46,57,39,46
31,25,45,28,46,57,40,46
31,26,44,28,45,58,40,45
31,26,45,28,45,58,40,45
31,26,45,28,45,57,40,45
31,26,45,28,45,57,40,46
31,26,45,28,45,58,40,46
31,26,45,28,44,57,40,46
31,26,46,28,44,57,40,46
31,27,45,28,45,57,40,45
31,27,45,28,45,57,40,45
31,27,45,28,44,57,40,45
30,27,45,28,44,57,40,45
30,27,45,28,44,57,40,45
30,27,45,28,44,57,40,45
30,27,45,28,44,58,40,45
30,27,45,28,45,58,40,45
30,27,45,28,45,58,40,45
31,27,45,28,44,57,40,45
31,27,45,28,45,57,40,45
31,28,46,28,44,58,40,45
31,28,46,28,44,58,40,45
31,27,46,28,44,58,40,45
31,27,45,28,44,58,40,45
31,27,45,28,45,58,40,46
31,26,46,28,45,58,40,45
31,26,46,28,45,58,40,45
31,26,45,28,45,58,40,45
31,25,45,28,45,58,40,45
31,25,46,28,45,58,40,45
31,25,46,28,45,58,40,45
31,25,46,28,45,58,40,45
31,24,46,28,46,58,40,45
31,24,46,28,46,58,40,45
31,25,45,28,46,58,40,45
31,25,45,28,46,58,40,45
31,25,45,28,46,58,40,45
31,25,46,28,46,59,40,46
31,26,46,28,47,59,40,45
31,26,45,28,46,59,40,45
31,26,45,28,47,59,40,45
30,26,45,28,47,59,40,45
30,26,45,28,48,59,40,45
30,26,45,28,47,59,40,45
31,26,45,28,47,59,40,45
31,27,45,28,47,59,40,45
31,27,45,28,47,59,40,45
31,27,45,28,47,59,40,45
31,27,45,28,47,58,40,45
31,27,45,28,47,58,40,45
31,27,45,28,47,58,40,45
31,28,44,28,47,58,40,45
31,28,45,28,47,58,40,45
30,28,45,28,46,58,41,45
31,28,45,28,46,58,41,46
31,28,45,28,46,58,41,45
31,28,45,28,46,58,40,45
31,28,45,28,46,58,40,45
31,28,45,28,45,58,40,45
31,28,45,28,46,58,40,45
31,28,45,28,45,58,40,45
31,27,45,28,46,57,40,45
31,27,45,28,46,56,40,45
31,27,45,28,46,56,40,45
31,27,45,28,46,55,40,45
31,27,45,28,46,56,40,45
31,27,46,28,46,56,40,45
31,27,46,28,46,56,39,45
31,28,45,28,46,56,39,45
31,28,45,28,46,55,39,45
31,28,45,28,46,55,39,45
31,28,45,28,47,55,39,45
31,28,44,28,47,55,39,45
31,29,44,28,47,55,39,45
31,29,44,28,47,55,39,45
