Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
30,26,45,27,45,57,39,45
30,26,45,27,45,58,39,45
30,26,45,27,45,58,39,45
30,26,45,27,45,57,39,45
30,26,45,27,45,57,39,45
30,26,45,27,45,57,39,45
30,26,45,27,46,57,39,45
30,26,45,27,45,58,39,45
30,27,45,27,45,58,39,45
29,27,45,27,45,58,39,45
30,27,45,27,45,58,39,45
30,27,45,27,45,58,39,45
30,27,45,27,45,58,39,45
30,27,45,27,45,57,39,45
30,28,45,28,45,57,39,45
30,28,45,28,45,57,39,44
30,27,46,28,45,57,39,45
29,27,45,28,45,57,39,45
30,27,45,28,45,57,39,45
30,27,45,28,45,57,39,45
30,27,45,28,44,57,39,44
30,26,44,28,44,57,39,45
30,26,45,28,45,56,39,44
30,26,45,28,45,57,39,45
30,26,45,28,45,56,39,45
30,26,44,28,44,57,39,45
30,27,44,28,44,57,39,45
30,26,44,28,44,56,39,45
30,26,44,28,45,56,39,45
31,26,44,28,45,56,39,45
30,26,44,28,45,56,39,45
30,26,45,28,45,56,39,45
30,25,45,28,45,56,39,45
30,25,45,28,45,56,39,45
31,25,45,28,45,56,39,45
31,25,45,28,45,56,39,45
31,25,44,28,45,57,39,45
31,25,44,28,45,56,39,45
31,25,44,28,45,56,39,45
31,25,44,28,45,56,39,45
31,25,44,28,45,57,39,45
31,25,45,28,45,57,39,45
31,26,45,28,46,56,39,45
31,26,45,28,46,56,39,44
31,26,45,28,46,56,39,44
31,25,45,28,46,56,39,44
31,24,45,28,46,56,39,44
31,24,45,28,46,56,39,44
31,24,45,28,46,56,39,44
31,24,45,28,45,56,39,44
31,24,44,28,46,57,39,44
31,24,44,28,46,57,39,44
31,24,44,28,46,57,39,44
31,25,44,28,46,56,39,44
31,25,44,28,47,56,38,44
30,24,44,28,47,56,39,45
30,24,44,28,47,56,39,45
30,24,45,28,47,56,39,45
30,24,45,28,47,57,39,45
30,24,45,28,48,56,39,45
30,24,45,28,48,56,39,45
30,24,44,28,48,56,39,45
30,24,44,28,47,56,39,45
30,24,45,28,47,56,39,45
30,24,45,27,47,56,39,45
30,24,45,27,47,56,39,45
31,24,45,27,48,56,39,45
31,24,45,27,48,56,39,45
30,24,45,27,48,57,39,45
31,24,45,27,48,57,39,45
31,24,44,27,48,57,39,45
31,24,44,27,48,56,39,45
31,24,44,27,48,56,39,45
31,24,44,27,47,57,39,45
31,24,44,28,47,57,39,45
31,25,44,28,46,56,39,45
31,25,44,28,46,56,39,45
